business_name,address,inspection_date,years_alive
FAVIA CAFE & SWEETS SHOP,10701 S HALE AVE ,05/01/2012,0
GALLERY FOOD,10701 S WENTWORTH AVE ,02/14/2013,0
"GALLERY FOOD EXPRESS, INC",10701 S WENTWORTH AVE ,02/07/2013,0
"A.P. DELI RESTAURANT GROUP, INC.",10758 S MICHIGAN AVE ,02/25/2013,0
"A.P. DELI RESTAURANT GROUP, INC.",10758 S MICHIGAN AVE ,06/21/2012,1
HAROLD'S CHICKEN SHACK,108 E 47TH ST ,05/21/2013,2
HAROLD'S  CHICKEN SHACK,108 E 47TH ST ,07/02/2013,0
PARLOR PIZZA BAR,108 N GREEN ST ,06/18/2014,3
LATINICITY,108 N STATE ST ,02/27/2017,0
"BLOCK 37 CTA DONUTS INC.,",108 N STATE ST ,02/22/2016,1
GATEWAY NEWS STAND,108 N STATE ST ,10/31/2013,1
BEARD PAPA SWEETS CAFE,108 N STATE ST ,03/15/2013,0
ANDY'S FROZEN CUSTARD,108 N STATE ST ,11/14/2013,0
GATEWAY NEWSTANDS,108 N STATE ST ,09/04/2013,0
MERCADITO CHICAGO,108-110 W KINZIE ST ,10/04/2011,1
ELNORA'S HEALTH UNLIMI,10844 S HALSTED ST ,09/17/2012,0
